"INCIDENT_ID","REPORTDATE","INCIDENT_ADDRESS","DISTRICT_ID","PRECINCT_ID","OFFENSE_CATEGORY_ID","MJ_RELATION_TYPE","NEIGHBORHOOD_ID"
"201524323",2015-01-13,"742 N RALEIGH ST, Denver, CO","1","122","Burglary","NON-INDUSTRY
","villa-park"
"2014268027",2014-05-26,"5194 N WASHINGTON ST, Denver, CO","1","112","Larceny","INDUSTRY
","globeville"
"2013573936",2013-11-28,"887 S BROADWAY ST, Denver, CO","3","313","Criminal Mischief-Vehicle","NON-INDUSTRY
","baker"
"2012281352",2012-06-27,"155 S PECOS ST, Denver, CO","4","411","Burglary","INDUSTRY
","valverde"
"2014672117",2014-12-19,"5103 N CHAMBERS RD, Denver, CO","5","521","Robbery-Street-Res","NON-INDUSTRY
","montbello"
"2013435116",2013-09-11,"1100 N YUMA CT, Denver, CO","1","123","Burglary","INDUSTRY
","lincoln-park"
"2015666518",2015-11-14,"2675 W 38TH AVE, Denver, CO","1","111","Burglary","INDUSTRY
","sunnyside"
"2016100418",2016-02-16,"983 S VINE ST, Denver, CO","3","312","Burglary","NON-INDUSTRY
","washington-park"
"2015587042",2015-10-08,"432 S BROADWAY ST, Denver, CO","3","312","All Other Crimes","INDUSTRY
","washington-park-west"
"2016196270",2016-03-30,"5140 N CLARKSON ST, Denver, CO","1","112","Burglary","INDUSTRY
","globeville"
"2014476954",2014-09-09,"5155 E 46TH AVE, Denver, CO","2","221","All Other Crimes","INDUSTRY
","northeast-park-hill"
"2014657784",2014-12-12,"4000 BLOCK E COLFAX AVE, Denver, CO","2","222","Simple Assault","NON-INDUSTRY
","hale"
"2014282243",2014-06-02,"1239 W NEVADA PL, Denver, CO","4","412","All Other Crimes","INDUSTRY
","athmar-park"
"2013193416",2013-05-01,"3244 WALNUT ST, Denver, CO","2","211","Burglary","INDUSTRY
","five-points"
"2012496119",2012-10-24,"2117 LARIMER ST, Denver, CO","6","612","Burglary","INDUSTRY
","five-points"
"2015219392",2015-04-22,"3944 N HIGH ST, Denver, CO","2","211","Robbery-Business","INDUSTRY
","cole"
"2012173370",2012-04-27,"803 S JASON ST, Denver, CO","4","412","Burglary","INDUSTRY
","athmar-park"
"2016373057",2016-06-14,"445 N FEDERAL BLVD, Denver, CO","4","411","Burglary","INDUSTRY
","barnum"
"2013201534",2013-05-06,"835 E 50TH AVE, Denver, CO","1","112","Burglary","INDUSTRY
","globeville"
"2014354137",2014-07-09,"2200 BLOCK LAWRENCE ST, Denver, CO","6","611","Simple Assault","NON-INDUSTRY
","five-points"
"201299457",2012-03-11,"745 E 6TH AVE, Denver, CO","3","311","Burglary","INDUSTRY
","speer"
"2012603411",2012-12-31,"970 S ONEIDA ST, Denver, CO","3","322","Burglary","INDUSTRY
","washington-virginia-vale"
"2014648842",2014-12-07,"1411 N STUART ST, Denver, CO","1","122","Burglary","NON-INDUSTRY
","west-colfax"
"2012194086",2012-05-09,"6855 LEETSDALE DR, Denver, CO","3","322","Burglary","INDUSTRY
","washington-virginia-vale"
"2012228060",2012-05-28,"2792 S FEDERAL BLVD, Denver, CO","4","422","Robbery-Street-Res","NON-INDUSTRY
","college-view-south-platte"
"201342812",2013-01-27,"5100 W 38TH AVE, Denver, CO","1","113","Burglary","INDUSTRY
","west-highland"
